president,approval,timestamp
Trump,42.40348,13 May 2019
Trump,43.60945,13 May 2020
Biden,52.940977,13 May 2021
Trump,38.07273,13 Nov 2017
Trump,41.75856,13 Nov 2018
Trump,40.950028,13 Nov 2019
Trump,44.625718,13 Nov 2020
Trump,37.6958,13 Oct 2017
Trump,41.79047,13 Oct 2018
Trump,42.16757,13 Oct 2019
Trump,43.50974,13 Oct 2020
Biden,44.62828,13 Oct 2021
Trump,38.20712,13 Sep 2017
Trump,39.86902,13 Sep 2018
Trump,41.63035,13 Sep 2019
Trump,43.030614,13 Sep 2020
Biden,45.93274433333334,13 Sep 2021
Trump,41.27088,14 Apr 2017
Trump,42.156455,14 Apr 2019
Trump,44.277388,14 Apr 2020
Biden,52.479558,14 Apr 2021
Trump,37.39813,14 Aug 2017
Trump,42.20527,14 Aug 2018
Trump,41.72423,14 Aug 2019
Trump,41.530297,14 Aug 2020
Trump,37.07505,14 Dec 2017
Trump,42.50179,14 Dec 2018
Trump,41.848343,14 Dec 2019
Trump,43.457624,14 Dec 2020
Biden,43.331325,14 Dec 2021
Trump,41.42786,14 Feb 2018
Trump,41.50784,14 Feb 2019
Trump,43.314642,14 Feb 2020
Trump,40.72627,14 Jan 2019
Trump,42.304678,14 Jan 2020
Trump,39.440439,14 Jan 2021
Biden,42.191538,14 Jan 2022
Trump,39.14643,14 Jul 2017
Trump,42.03181,14 Jul 2018
Trump,42.57518,14 Jul 2019
Trump,40.311076,14 Jul 2020
Biden,51.183399,14 Jul 2021
Trump,38.3791,14 Jun 2017
Trump,41.79745,14 Jun 2018
Trump,42.38241,14 Jun 2019
Biden,53.161713,14 Jun 2021
Trump,44.29615,14 Mar 2017
Trump,40.42437,14 Mar 2018
Trump,41.64219,14 Mar 2019
Biden,53.610397500000005,14 Mar 2021
Trump,40.63778,14 May 2017
Trump,42.111495000000005,14 May 2018
Trump,42.27468,14 May 2019
Trump,43.617028,14 May 2020
Biden,52.794621,14 May 2021
Trump,38.05358,14 Nov 2017
Trump,42.01041,14 Nov 2018
Trump,41.151785,14 Nov 2019
Trump,44.779956,14 Nov 2020
Biden,42.745394,14 Nov 2021
Trump,37.62886,14 Oct 2017
Trump,41.77902,14 Oct 2018
Trump,41.99435,14 Oct 2019
Trump,43.430891,14 Oct 2020
Biden,44.681045,14 Oct 2021
Trump,38.48572,14 Sep 2017
Trump,39.9229,14 Sep 2018
Trump,43.167115,14 Sep 2020
Biden,45.891477,14 Sep 2021
Trump,41.23275,15 Apr 2017
Trump,40.68501,15 Apr 2018
Trump,41.94808,15 Apr 2019
Trump,44.35656,15 Apr 2020
Biden,52.789209,15 Apr 2021
Trump,37.63694,15 Aug 2017
Trump,42.05485,15 Aug 2018
Trump,42.19074,15 Aug 2019
Trump,41.535963,15 Aug 2020
Trump,36.45856,15 Dec 2017
Trump,42.720797,15 Dec 2019
Trump,43.672907,15 Dec 2020
Biden,43.837404,15 Dec 2021
Trump,41.45908,15 Feb 2018
Trump,41.65232,15 Feb 2019
Biden,54.48420566666667,15 Feb 2021
Trump,39.16479666666666,15 Jan 2018
Trump,40.8077,15 Jan 2019
Trump,42.15023,15 Jan 2020
Trump,38.044537,15 Jan 2021
Trump,39.09839,15 Jul 2017
Trump,42.39311,15 Jul 2019
Trump,40.31181,15 Jul 2020
Biden,51.099852,15 Jul 2021
Trump,38.38903,15 Jun 2017
Trump,42.0946,15 Jun 2018
